threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.2,0.8070175438596491,0.9966666666666667,0.8918717375093214,143,2,598,656
0.3,0.8897168405365127,0.995,0.939417781274587,74,3,597,725
0.4,0.9405144694533762,0.975,0.9574468085106383,37,15,585,762
0.5,0.9694915254237289,0.9533333333333334,0.9613445378151261,18,28,572,781
0.6,0.9825783972125436,0.94,0.9608177172061328,10,36,564,789
0.7,0.9873417721518988,0.91,0.9470945359930616,7,54,546,792
0.8,0.9918367346938776,0.81,0.8917431192660551,4,114,486,795
