repeat,seed,strategy,threshold_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,roc_auc
4,47,baseline,soc,0.4,0.775,0.7352941176470589,0.71875,1.0,0.8363636363636363,"[[8, 9], [0, 23]]",0.8849104859335039
4,47,baseline,balanced,0.5,0.75,0.7442455242966752,0.782608695652174,0.782608695652174,0.782608695652174,"[[12, 5], [5, 18]]",0.8849104859335039
4,47,baseline,high_confidence,0.6,0.675,0.7020460358056266,0.8571428571428571,0.5217391304347826,0.6486486486486487,"[[15, 2], [11, 12]]",0.8849104859335039
4,47,baseline,dev_optimized,0.45,0.85,0.8312020460358056,0.8148148148148148,0.9565217391304348,0.88,"[[12, 5], [1, 22]]",0.8849104859335039
4,47,optimized,soc,0.4,0.85,0.8235294117647058,0.7931034482758621,1.0,0.8846153846153846,"[[11, 6], [0, 23]]",0.9961636828644501
4,47,optimized,balanced,0.5,0.925,0.9117647058823529,0.8846153846153846,1.0,0.9387755102040817,"[[14, 3], [0, 23]]",0.9961636828644501
4,47,optimized,high_confidence,0.6,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",0.9961636828644501
4,47,optimized,dev_optimized,0.4,0.85,0.8235294117647058,0.7931034482758621,1.0,0.8846153846153846,"[[11, 6], [0, 23]]",0.9961636828644501
4,47,meta_experimental,soc,0.4,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",1.0
4,47,meta_experimental,balanced,0.5,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",1.0
4,47,meta_experimental,high_confidence,0.6,1.0,1.0,1.0,1.0,1.0,"[[17, 0], [0, 23]]",1.0
4,47,meta_experimental,dev_optimized,0.35,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",1.0
5,59,baseline,soc,0.4,0.675,0.6406649616368286,0.6666666666666666,0.8695652173913043,0.7547169811320755,"[[7, 10], [3, 20]]",0.8107416879795397
5,59,baseline,balanced,0.5,0.75,0.7595907928388747,0.8421052631578947,0.6956521739130435,0.7619047619047619,"[[14, 3], [7, 16]]",0.8107416879795397
5,59,baseline,high_confidence,0.6,0.6,0.6445012787723785,0.8888888888888888,0.34782608695652173,0.5,"[[16, 1], [15, 8]]",0.8107416879795397
5,59,baseline,dev_optimized,0.45,0.85,0.8465473145780051,0.8695652173913043,0.8695652173913043,0.8695652173913043,"[[14, 3], [3, 20]]",0.8107416879795397
5,59,optimized,soc,0.4,0.9,0.8900255754475703,0.88,0.9565217391304348,0.9166666666666666,"[[14, 3], [1, 22]]",0.9514066496163682
5,59,optimized,balanced,0.5,0.9,0.8900255754475703,0.88,0.9565217391304348,0.9166666666666666,"[[14, 3], [1, 22]]",0.9514066496163682
5,59,optimized,high_confidence,0.6,0.925,0.9271099744245523,0.9545454545454546,0.9130434782608695,0.9333333333333333,"[[16, 1], [2, 21]]",0.9514066496163682
5,59,optimized,dev_optimized,0.45,0.9,0.8900255754475703,0.88,0.9565217391304348,0.9166666666666666,"[[14, 3], [1, 22]]",0.9514066496163682
5,59,meta_experimental,soc,0.4,0.95,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,"[[17, 0], [2, 21]]",0.9948849104859335
5,59,meta_experimental,balanced,0.5,0.95,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,"[[17, 0], [2, 21]]",0.9948849104859335
5,59,meta_experimental,high_confidence,0.6,0.95,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,"[[17, 0], [2, 21]]",0.9948849104859335
5,59,meta_experimental,dev_optimized,0.35,0.95,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,"[[17, 0], [2, 21]]",0.9948849104859335
