model,split,threshold,accuracy,balanced_accuracy,precision,recall,f1,false_positives,false_negatives
email,dev,0.05,0.5142857142857142,0.5,0.5142857142857142,1.0,0.6792452830188679,68,0
email,dev,0.1,0.5142857142857142,0.5,0.5142857142857142,1.0,0.6792452830188679,68,0
email,dev,0.15,0.5142857142857142,0.5,0.5142857142857142,1.0,0.6792452830188679,68,0
email,dev,0.2,0.5071428571428571,0.4930555555555556,0.5107913669064749,0.9861111111111112,0.6729857819905213,68,1
email,dev,0.25,0.5,0.4861111111111111,0.5072463768115942,0.9722222222222222,0.6666666666666666,68,2
email,dev,0.3,0.4928571428571429,0.4791666666666667,0.5036496350364964,0.9583333333333334,0.6602870813397129,68,3
email,dev,0.35,0.5,0.48651960784313725,0.5073529411764706,0.9583333333333334,0.6634615384615384,67,3
email,dev,0.4,0.5,0.48651960784313725,0.5073529411764706,0.9583333333333334,0.6634615384615384,67,3
email,dev,0.45,0.5142857142857142,0.5012254901960784,0.5149253731343284,0.9583333333333334,0.6699029126213593,65,3
email,dev,0.5,0.5142857142857142,0.5012254901960784,0.5149253731343284,0.9583333333333334,0.6699029126213593,65,3
email,dev,0.55,0.5428571428571428,0.5306372549019608,0.5307692307692308,0.9583333333333334,0.6831683168316832,61,3
email,dev,0.6,0.5714285714285714,0.5600490196078431,0.5476190476190477,0.9583333333333334,0.696969696969697,57,3
email,dev,0.65,0.65,0.6413398692810457,0.6017699115044248,0.9444444444444444,0.7351351351351352,45,4
email,dev,0.7,0.6357142857142857,0.6290849673202614,0.6019417475728155,0.8611111111111112,0.7085714285714285,41,10
email,dev,0.75,0.6642857142857143,0.6609477124183006,0.6436781609195402,0.7777777777777778,0.7044025157232704,31,16
email,dev,0.8,0.5857142857142857,0.5878267973856208,0.6166666666666667,0.5138888888888888,0.5606060606060606,23,35
email,dev,0.85,0.4714285714285714,0.47794117647058826,0.47368421052631576,0.25,0.32727272727272727,20,54
email,dev,0.9,0.4857142857142857,0.4991830065359477,0.5,0.027777777777777776,0.05263157894736842,2,70
email,dev,0.95,0.4714285714285714,0.4852941176470588,0.0,0.0,0.0,2,72
url,dev,0.05,0.7571428571428571,0.7787427626137304,0.6521739130434783,0.967741935483871,0.7792207792207793,32,2
url,dev,0.1,0.75,0.7425558312655087,0.7368421052631579,0.6774193548387096,0.7058823529411765,15,20
url,dev,0.15,0.6857142857142857,0.6699751861042184,0.6875,0.532258064516129,0.6,15,29
url,dev,0.2,0.6357142857142857,0.6135235732009926,0.6341463414634146,0.41935483870967744,0.5048543689320388,15,36
url,dev,0.25,0.6357142857142857,0.6135235732009926,0.6341463414634146,0.41935483870967744,0.5048543689320388,15,36
url,dev,0.3,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.35,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.4,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.45,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.5,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.55,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.6,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.65,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.7,0.7142857142857143,0.6840363937138131,0.8666666666666667,0.41935483870967744,0.5652173913043478,4,36
url,dev,0.75,0.7214285714285714,0.685483870967742,1.0,0.3709677419354839,0.5411764705882353,0,39
url,dev,0.8,0.6714285714285714,0.6290322580645161,1.0,0.25806451612903225,0.41025641025641024,0,46
url,dev,0.85,0.5928571428571429,0.5403225806451613,1.0,0.08064516129032258,0.14925373134328357,0,57
url,dev,0.9,0.5571428571428572,0.5,0.0,0.0,0.0,0,62
url,dev,0.95,0.5571428571428572,0.5,0.0,0.0,0.0,0,62
joint_baseline,dev,0.05,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,60,0
joint_baseline,dev,0.1,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,60,0
joint_baseline,dev,0.15,0.5571428571428572,0.4875,0.5652173913043478,0.975,0.7155963302752294,60,2
joint_baseline,dev,0.2,0.5571428571428572,0.48958333333333337,0.5661764705882353,0.9625,0.7129629629629629,59,3
joint_baseline,dev,0.25,0.5714285714285714,0.50625,0.5746268656716418,0.9625,0.719626168224299,57,3
joint_baseline,dev,0.3,0.5928571428571429,0.53125,0.5877862595419847,0.9625,0.7298578199052133,54,3
joint_baseline,dev,0.35,0.7,0.65625,0.6637931034482759,0.9625,0.7857142857142857,39,3
joint_baseline,dev,0.4,0.7714285714285715,0.7416666666666667,0.7307692307692307,0.95,0.8260869565217391,28,4
joint_baseline,dev,0.45,0.85,0.8354166666666667,0.8241758241758241,0.9375,0.8771929824561403,16,5
joint_baseline,dev,0.5,0.7571428571428571,0.75625,0.8026315789473685,0.7625,0.782051282051282,15,19
joint_baseline,dev,0.55,0.7214285714285714,0.7354166666666666,0.8360655737704918,0.6375,0.723404255319149,10,29
joint_baseline,dev,0.6,0.6857142857142857,0.71875,0.9285714285714286,0.4875,0.639344262295082,3,41
joint_baseline,dev,0.65,0.6857142857142857,0.7208333333333333,0.95,0.475,0.6333333333333333,2,42
joint_baseline,dev,0.7,0.5928571428571429,0.6416666666666666,0.96,0.3,0.45714285714285713,1,56
joint_baseline,dev,0.75,0.5714285714285714,0.6229166666666667,0.9545454545454546,0.2625,0.4117647058823529,1,59
joint_baseline,dev,0.8,0.5357142857142857,0.59375,1.0,0.1875,0.3157894736842105,0,65
joint_baseline,dev,0.85,0.5357142857142857,0.59375,1.0,0.1875,0.3157894736842105,0,65
joint_baseline,dev,0.9,0.5357142857142857,0.59375,1.0,0.1875,0.3157894736842105,0,65
joint_baseline,dev,0.95,0.4357142857142857,0.50625,1.0,0.0125,0.024691358024691357,0,79
joint_rule_optimized,dev,0.05,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,60,0
joint_rule_optimized,dev,0.1,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,60,0
joint_rule_optimized,dev,0.15,0.5642857142857143,0.49375,0.5683453237410072,0.9875,0.7214611872146118,60,1
joint_rule_optimized,dev,0.2,0.5714285714285714,0.5041666666666667,0.5735294117647058,0.975,0.7222222222222222,58,2
joint_rule_optimized,dev,0.25,0.6071428571428571,0.5458333333333333,0.5954198473282443,0.975,0.7393364928909952,53,2
joint_rule_optimized,dev,0.3,0.7714285714285715,0.7375,0.7222222222222222,0.975,0.8297872340425532,30,2
joint_rule_optimized,dev,0.35,0.8214285714285714,0.7958333333333334,0.7722772277227723,0.975,0.861878453038674,23,2
joint_rule_optimized,dev,0.4,0.9,0.8875,0.8666666666666667,0.975,0.9176470588235294,12,2
joint_rule_optimized,dev,0.45,0.9142857142857143,0.9041666666666667,0.8863636363636364,0.975,0.9285714285714286,10,2
joint_rule_optimized,dev,0.5,0.9214285714285714,0.9125,0.896551724137931,0.975,0.9341317365269461,9,2
joint_rule_optimized,dev,0.55,0.9428571428571428,0.9416666666666667,0.95,0.95,0.95,4,4
joint_rule_optimized,dev,0.6,0.9428571428571428,0.94375,0.9615384615384616,0.9375,0.9493670886075949,3,5
joint_rule_optimized,dev,0.65,0.9428571428571428,0.9458333333333333,0.9736842105263158,0.925,0.9487179487179487,2,6
joint_rule_optimized,dev,0.7,0.8642857142857143,0.8791666666666667,0.9841269841269841,0.775,0.8671328671328671,1,18
